"student_id","minutes_watched","certificates_issued"
"6","148.12","1"
"182","2018.87","7"
"801","6066.00","13"
"841","1623.63","3"
"862","1145.65","1"
"911","917.42","2"
"969","642.40","1"
"999","502.13","2"
"1046","2305.95","1"
"1200","329.40","2"
"1221","227.30","1"
"1521","776.92","3"
"1540","675.60","2"
"1567","1286.92","1"
"1619","1490.73","6"
"1652","1355.32","2"
"1754","516.18","9"
"1852","806.20","1"
"2003","1028.78","3"
"2022","115.37","1"
"2073","467.53","2"
"2091","2655.62","1"
"2731","508.50","2"
"2737","680.57","1"
"2811","3192.95","2"
"2938","1444.78","1"
"3183","147.55","5"
"3239","2335.58","6"
"3338","1004.58","1"
"3423","1082.13","1"
"3577","329.90","2"
"3774","1798.07","2"
"3780","266.68","1"
"4595","869.15","1"
"4640","586.80","1"
"4723","700.55","2"
"4739","3273.48","4"
"5080","1892.32","2"
"5827","953.23","6"
"5836","1903.12","3"
"6053","986.13","3"
"6159","253.15","2"
"6278","2181.32","2"
"7086","1399.13","1"
"7382","1019.08","1"
"7540","518.17","1"
"8544","418.45","1"
"8641","109.55","1"
"9372","316.70","1"
"9754","702.77","1"
"10422","871.98","6"
"11353","1095.90","2"
"12279","200.98","1"
"12532","481.90","1"
"14700","1657.05","35"
"15743","87.13","1"
"15772","1110.18","4"
"16668","535.67","1"
"16979","535.68","3"
"17419","702.63","2"
"17613","223.83","1"
"19124","1868.85","2"
"20710","2222.05","8"
"21229","138.12","1"
"21615","0.00","1"
"29758","692.83","3"
"30206","483.10","1"
"30872","1001.97","1"
"34121","450.67","1"
"39563","599.22","5"
"41336","1463.23","2"
"44965","319.33","1"
"47183","895.48","3"
"53781","0.05","3"
"59568","176.57","1"
"74498","163.85","1"
"85568","0.00","18"
"89102","0.10","2"
"115019","638.15","2"
"122992","0.00","2"
"142814","162.32","1"
"143561","2309.33","10"
"143701","1023.33","1"
"143709","1462.22","3"
"144348","863.88","1"
"144397","1242.37","13"
"145013","697.02","1"
"145177","918.17","1"
"145310","41.42","1"
"145561","197.20","1"
"146149","938.25","3"
"146855","373.40","4"
"147087","1221.50","1"
"147132","357.92","1"
"147672","1214.30","6"
"147687","3761.35","1"
"147878","2938.07","7"
"147956","2288.98","13"
"148089","7.30","1"
"148372","225.20","3"
"148628","402.03","1"
"148886","2067.28","1"
"149042","489.53","1"
"149195","2299.22","2"
"149323","172.97","1"
"149601","126.27","2"
"149652","1176.87","5"
"149787","163.82","1"
"150090","1499.27","2"
"150745","1286.85","2"
"150949","5249.05","8"
"151694","3491.48","1"
"152109","1411.30","1"
"152896","687.78","1"
"153103","1209.37","1"
"153235","423.28","1"
"153741","917.05","1"
"153765","1021.63","3"
"154092","1563.80","4"
"154291","371.37","1"
"155427","1523.08","1"
"155640","798.45","2"
"156057","967.88","1"
"156183","812.98","1"
"156206","3087.27","4"
"156276","597.68","2"
"156407","1708.70","9"
"156409","709.43","1"
"156467","1557.32","6"
"156498","1126.25","1"
"156510","234.02","1"
"156587","353.38","2"
"156647","2355.20","2"
"156649","2343.28","6"
"156767","164.83","1"
"156776","1558.35","3"
"157198","2434.82","7"
"157277","1884.22","2"
"157285","277.12","1"
"157698","778.37","2"
"157976","442.73","2"
"158034","363.25","1"
"158129","119.02","1"
"158724","1431.57","5"
"159060","176.52","1"
"159186","1421.55","2"
"159336","501.23","2"
"159370","6464.82","11"
"159457","917.82","1"
"159548","569.87","3"
"159873","1347.23","10"
"160595","675.05","2"
"160960","1116.02","4"
"161060","321.70","4"
"161173","319.90","1"
"161210","805.45","5"
"161380","2880.08","9"
"161496","688.05","1"
"161537","91.05","1"
"161693","358.42","1"
"161844","703.60","1"
"162497","1267.38","6"
"165026","434.53","3"
"165285","1583.35","8"
"165374","246.98","1"
"166145","533.25","1"
"166734","370.38","1"
"169624","0.00","21"
"169966","469.45","1"
"170493","1078.97","8"
"170879","1262.87","7"
"171313","1449.70","3"
"171339","535.28","1"
"171439","29.77","1"
"171585","49.57","1"
"171738","772.27","4"
"171827","284.02","1"
"171900","3448.22","6"
"172127","734.57","3"
"172218","154.38","1"
"172289","388.40","1"
"172535","604.27","3"
"172619","1171.35","3"
"172792","429.65","1"
"172793","876.17","3"
"173105","342.10","3"
"175038","978.78","4"
"176012","222.83","1"
"176090","2779.98","6"
"176391","405.53","1"
"176531","656.23","5"
"179118","118.13","1"
"179127","299.17","1"
"179203","2255.92","3"
"180668","127.53","1"
"181083","225.72","1"
"181620","1199.13","1"
"181800","362.12","1"
"182808","365.07","1"
"182880","492.43","1"
"183819","229.77","1"
"183978","2010.43","9"
"184826","512.98","2"
"185208","1019.33","1"
"185848","994.32","3"
"185851","2785.42","6"
"187237","0.00","1"
"187880","155.50","1"
"188507","225.77","1"
"190394","89.30","1"
"190610","312.83","1"
"190625","1031.02","1"
"190803","978.52","5"
"190825","631.10","2"
"192420","451.13","3"
"193509","31.03","1"
"194507","1316.05","6"
"195307","324.32","1"
"195508","2823.77","12"
"196681","543.08","1"
"196809","765.37","5"
"197505","719.43","10"
"198179","570.30","2"
"199192","572.92","1"
"200231","906.87","1"
"204116","714.25","1"
"204419","814.12","4"
"205950","902.73","1"
"207559","66.25","1"
"208948","0.00","7"
"208957","180.35","1"
"209256","605.73","2"
"212463","3434.42","4"
"213109","281.95","3"
"213528","174.33","1"
"215160","388.98","2"
"216394","2086.00","3"
"216478","291.98","2"
"217155","1157.15","5"
"217558","0.00","1"
"217601","349.78","2"
"219488","1399.17","5"
"219561","602.88","2"
"225394","341.80","1"
"225789","442.57","2"
"225955","363.37","1"
"226169","802.75","2"
"227678","772.90","2"
"227874","395.87","2"
"228262","445.60","2"
"229699","388.65","3"
"230140","608.90","2"
"232131","595.08","2"
